Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
"Saint Helena, Ascension and Tristan da Cunha / SHN",,
Cable and Wireless plc,STHCW,"George Stevens, GM"
PO Box 2,,Tel +290 2211
THE BRIARS,,Fax +290 2213
,,E-mail
Cable and Wireless plc,ASC,Geoffrey Augustus
GEORGETOWN,,Tel +247 6559
Ascension Island,,Fax +247 6558
,,E-mail
